,Teaching in large class environments,Teaching in online/hybrid environments,Teaching in seminar-style classes,Facilitating learning through group work,Facilitating learning in a SCALE-UP classroom,Using effective classroom management techniques,Using Canvas for collaboration,Identifying instructional goals and objectives,Aligning course content with learning goals,Creating engaging learning experiences,Using open educational resources,Using Canvas for course design,Using multimedia to enhance courses,Creating videos for instructional purposes,Having students create and share multimedia projects,Managing time effectively,Using Google Apps for project management,Using Office365 for collaboration,Using Adobe suite for visual design projects,"Using Office365 for document, spreadsheet, and/or presentation creation",Choosing the right technology for the job required,"Using programming languages, such as R or Python",Reporting productivity using VTelements (for FAR),Developing effective surveys,Using focus groups for qualitative data,Publishing / Posting publications,Data visualization,Using a citation manager,Using scholarly databases and journals,Data curation and use,Using tools for data collection,Managing big data,Measuring student learning effectively,Developing assessments aligned with instructional goals and objectives,Designing and using authentic assessments,Giving effective feedback,"Using technology to design, deliver, and grade assessments",Using embedded assessment for program-level assessment,Using Canvas: for gradebook and assignments,Using Canvas: for tests and quizzes,Using SPOT reporting,Differentiating instruction for student readiness levels,Planning instruction for a diverse student body,Using effective techniques for handling controversial topics,Using accessible technology for student success,"Making course materials accessible for all students (e.g. hearing impaired, vision impaired)",Building rapport with students,Helping students become self-regulated learners,Working with people with autism and their communities,Working with children - classroom management techniques,Connecting Schools and Museums,Communicating with the public,Culturally-relevant/sensitive engagement,Assessing / Evaluating the impact of outreach and engagement,Working with children - safety and liability
Agriculture & Life Sciences,13.235,23.529,16.176,26.471,29.412,39.706,38.235,16.176,22.059,32.353,41.176,29.412,47.059,54.412,35.294,38.235,33.824,29.412,41.176,16.176,36.765,35.294,44.118,37.313,22.388,20.896,37.313,23.881,10.448,29.851,37.313,46.269,44.776,40.299,40.299,38.806,40.299,47.761,23.881,28.358,29.851,44.776,49.254,46.269,49.254,59.701,22.388,49.254,31.343,8.955,13.433,26.866,31.343,35.821,10.448
Architecture & Urban Studies,9.091,24.242,0.0,18.182,21.212,18.182,27.273,12.121,12.121,21.212,30.303,15.152,33.333,33.333,27.273,27.273,18.182,18.182,21.212,24.242,18.182,18.182,48.485,24.242,18.182,24.242,27.273,21.212,24.242,24.242,30.303,30.303,21.875,21.875,18.75,9.375,12.5,18.75,12.5,9.375,9.375,29.032,51.613,38.71,41.935,54.839,16.129,35.484,32.258,6.452,22.581,16.129,22.581,22.581,6.452
College of Business,12.5,30.0,15.0,37.5,15.0,30.0,30.0,22.5,17.5,27.5,12.5,20.0,35.0,37.5,22.5,40.0,30.0,25.0,27.5,25.0,40.0,45.0,40.0,22.5,27.5,40.0,37.5,37.5,20.0,37.5,47.5,40.0,35.0,27.5,27.5,40.0,50.0,32.5,30.0,25.0,22.5,32.5,30.0,47.5,50.0,47.5,30.0,45.0,30.0,15.0,10.0,17.5,25.0,25.0,10.0
College of Engineering,13.592,18.447,6.796,25.243,23.301,18.447,36.893,9.709,8.738,24.272,30.097,29.126,35.922,38.835,26.214,33.981,30.097,22.33,28.155,14.563,32.039,29.126,49.515,25.243,14.563,15.534,40.777,26.214,16.505,42.718,35.922,42.718,33.981,25.243,30.097,31.068,30.097,36.893,21.359,20.388,26.214,35.294,39.216,32.353,41.176,47.059,29.412,47.059,29.703,8.911,9.901,32.673,31.683,34.653,6.931
College of Science,10.465,26.744,10.465,34.884,25.581,23.256,24.419,16.279,18.605,26.744,23.256,25.581,26.744,26.744,18.605,33.721,25.581,11.628,23.256,10.465,23.256,31.395,36.047,22.093,9.302,12.791,26.744,18.605,4.651,18.605,27.907,34.884,29.412,25.882,29.412,20.0,18.824,27.059,18.824,22.353,18.824,42.353,37.647,34.118,56.471,60.0,22.353,37.647,31.765,10.588,16.471,31.765,29.412,38.824,15.294
College of Veterinary Medicine,23.077,73.077,34.615,34.615,30.769,42.308,42.308,26.923,26.923,46.154,34.615,42.308,46.154,42.308,23.077,26.923,30.769,30.769,38.462,34.615,57.692,19.231,34.615,19.231,11.538,30.769,42.308,42.308,15.385,34.615,46.154,38.462,46.154,42.308,46.154,53.846,50.0,53.846,38.462,42.308,34.615,38.462,38.462,34.615,38.462,50.0,23.077,42.308,26.923,3.846,7.692,11.538,30.769,15.385,11.538
Dean of Libraries,0.0,0.0,11.111,11.111,0.0,22.222,0.0,22.222,33.333,22.222,22.222,22.222,11.111,33.333,22.222,44.444,22.222,0.0,33.333,0.0,0.0,0.0,44.444,22.222,22.222,22.222,11.111,0.0,0.0,11.111,0.0,11.111,66.667,33.333,44.444,22.222,0.0,22.222,0.0,0.0,0.0,37.5,37.5,50.0,37.5,25.0,25.0,37.5,25.0,12.5,12.5,25.0,12.5,50.0,25.0
Graduate School,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Honors College,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
Liberal Arts and Human Sciences,6.931,26.733,4.95,16.832,16.832,13.861,24.752,6.931,3.96,9.901,33.663,28.713,31.683,32.673,38.614,30.693,22.772,20.792,33.663,18.812,37.624,13.861,40.594,14.851,13.861,24.752,31.683,30.693,17.822,25.743,28.713,19.802,15.842,13.861,13.861,13.861,24.752,29.703,18.812,13.861,16.832,23.762,22.772,26.733,44.554,58.416,8.911,24.752,32.0,3.0,15.0,15.0,24.0,22.0,6.0
Natural Resources,8.696,21.739,13.043,13.043,8.696,13.043,21.739,8.696,13.043,17.391,8.696,26.087,30.435,34.783,8.696,26.087,26.087,26.087,26.087,13.043,43.478,26.087,47.826,21.739,13.043,17.391,34.783,21.739,17.391,30.435,26.087,34.783,21.739,21.739,26.087,8.696,26.087,21.739,26.087,26.087,13.043,26.087,30.435,34.783,43.478,60.87,13.043,39.13,30.435,4.348,8.696,17.391,47.826,21.739,8.696
